folder name,title,slug,description,status,visibility,started,ended,categories,tags,featured,order,draft,thumb,gallery,video,ogImage,links.demo,downloads,role,collaborators,metrics,demoAuth,related
esp-database-matching,Effects of Constituent Characteristics on Database Matching,,"An applied data-analysis study conducted for University of California, San Diego’s Alumni Engagement Department examining how alumni demographics and engagement variables influence predictive matching within the Engagement Scoring Platform (ESP). The project combined exploratory data analysis and supervised machine-learning techniques to identify factors—such as event type, graduation year, and engagement level—that most strongly predict accurate match outcomes. Results informed CRM integration, data-governance policy, and strategic outreach initiatives across 1M+ records.",shipped,public,2023-03-01,2025-03-01,Data Analysis & Research; Predictive Modeling & Machine Learning,"paper, alumni-engagement, data-analysis, ml, imputation, deduplication, fuzzy-matching, analyst, in-effect",TRUE,,FALSE,,,,,,"[{""label"": ""Full Paper (PDF)"", ""path"": ""/portfolio/archive/The Effects of Constituent Characteristics on ESP Matching.pdf""}]",Author & Data Analyst,,"[{""key"": ""Records analyzed"", ""value"": ""1M+""}]",,
sc-legislation-2,S.C. Legislation 2,,"As Speaker of the Seventh College Student Council, I authored and sponsored this foundational piece of legislation to address long-standing inconsistencies in how committees operated and were chaired across the organization. The amendment redefined chairmanship authority, created a formal process for temporarily ceding leadership, and standardized quorum definitions to ensure representative participation across voting and non-voting members. I also consolidated and clarified committee membership requirements to strengthen operational efficiency. The legislation passed with broad support and remains a cornerstone of 7CSC’s structural framework, establishing the foundation for uniform governance practices that subsequent councils continue to rely on.",shipped,public,2022-11-01,2022-11-01,Legislative Reform & Governance,"legislation, student-gov, governance, bylaws, process-design, author, speaker, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Legislation (PDF)"", ""path"": ""/portfolio/archive/7CSC/7CSC Legislation/S.C.Legislation.2 (Partially Approved, see 2022 Fall Week 10 minutes).pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""sc-legislation-3"",""sc-legislation-4""]"
sc-legislation-3,S.C. Legislation 3,,"This legislation, which I authored and carried through the full approval process, was designed to strengthen transparency and accountability in the Council’s legislative process. It expanded the Rules Committee’s jurisdiction from mere review to formal amendment authority, allowing it to ensure that all proposed legislation met constitutional and formatting standards before Council ratification. I introduced clear procedural requirements mandating that all constitutional and bylaw amendments be reviewed by the Rules Committee prior to voting, thereby closing procedural gaps that had caused confusion in prior sessions. Today, this framework continues to serve as the procedural backbone for how legislation is submitted, reviewed, and enacted in 7CSC.",shipped,public,2023-03-01,2023-03-01,Legislative Reform & Governance; Procedural Design & Documentation,"legislation, student-gov, rules-committee, governance, process-design, author, speaker, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Legislation (PDF)"", ""path"": ""/portfolio/archive/7CSC/7CSC Legislation/S.C.Legislation.3.pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""sc-legislation-2"",""sc-legislation-4""]"
sc-legislation-4,S.C. Legislation 4,,"To improve organizational clarity and resolve systemic inconsistencies across the Council’s membership structure, I authored and passed this comprehensive amendment that reorganized and standardized all representative positions within 7CSC’s governing documents. The legislation alphabetized all Title II positions, corrected inconsistent naming conventions between elected and appointed members, and added several missing representative roles, including the Student Health and Well-Being Representative and the Student Transportation Representative. This legislation significantly improved administrative transparency, simplified cross-committee collaboration, and established a clear reference structure that continues to define 7CSC’s membership today.",shipped,public,2022-11-01,2022-11-01,Legislative Reform & Governance,"legislation, student-gov, representation, bylaws, information-architecture, author, speaker, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Legislation (PDF)"", ""path"": ""/portfolio/archive/7CSC/7CSC Legislation/S.C.Legislation.4.pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""sc-legislation-3"",""sc-legislation-5a"",""sc-legislation-5b""]"
sc-legislation-5a,S.C. Legislation 5a,,"Building on the structural reforms of prior amendments, I authored and passed Legislation 5A to modernize the Council’s Constitution and ensure that all listed positions accurately reflected the Council’s active structure. The legislation removed outdated and inactive positions, alphabetized membership listings, and standardized role titles to maintain internal consistency across constitutional documents. By codifying these updates, the amendment streamlined operational language and brought the Constitution into alignment with the Council’s actual composition, creating a more functional and maintainable framework for future governance.",shipped,public,2022-11-01,2022-11-01,Legislative Reform & Governance; Procedural Design & Documentation,"legislation, student-gov, constitution, modernization, roles-structure, author, speaker, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Legislation (PDF)"", ""path"": ""/portfolio/archive/7CSC/7CSC Legislation/S.C.Legislation.5A.pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""sc-legislation-4"",""sc-legislation-5b""]"
sc-legislation-5b,S.C. Legislation 5b,,"As Speaker, I identified the absence of a formal mechanism for amending the Council’s Constitution as a major procedural vulnerability. To address this, I authored and successfully passed Legislation 5B, which introduced a dedicated amendments clause outlining the conditions and thresholds required for future constitutional changes. The reform established a three-fourths supermajority requirement, delegated limited formatting authority to the Rules Committee, and required all amendments to undergo formal introduction and review before ratification. This legislation remains one of the most structurally important pieces passed during my tenure, creating the legal and procedural foundation for all future constitutional revisions.",shipped,public,2022-02-01,2022-02-01,Legislative Reform & Governance; Procedural Design & Documentation,"legislation, student-gov, constitution, amendments-clause, governance, author, speaker, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Legislation (PDF)"", ""path"": ""/portfolio/archive/7CSC/7CSC Legislation/S.C.Legislation.5B.pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""sc-legislation-5a"",""sc-legislation-6""]"
sc-legislation-6,S.C. Legislation 6,,"This amendment targeted a specific procedural limitation within Council meetings: the time allotted for Open Forum discussions. Recognizing that the existing structure constrained student participation, I proposed and passed Legislation 6 to extend the maximum duration of Open Forum from ten to twenty-five minutes. This change enabled greater constituent engagement, allowed for deeper discussion on complex issues, and established a more inclusive format for community feedback—while maintaining orderly proceedings through the existing two-thirds vote extension rule. The reform was adopted unanimously and continues to facilitate open dialogue at 7CSC sessions.",shipped,public,2023-02-01,2023-02-01,Legislative Reform & Governance,"legislation, student-gov, meeting-procedure, open-forum, process-design, author, speaker, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Legislation (PDF)"", ""path"": ""/portfolio/archive/7CSC/7CSC Legislation/S.C.Legislation.6.pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""sc-legislation-5b"",""sc-legislation-7""]"
sc-legislation-7,S.C. Legislation 7,,"In my ongoing effort to strengthen administrative continuity, I sponsored and passed this amendment to synchronize the appointment cycle for key representative positions with the Spring Quarter schedule. This shift allowed for smoother transitions between outgoing and incoming representatives and ensured that appointments occurred with sufficient time for training and onboarding before the academic year’s end. The reform continues to provide structural stability, enabling consistent representation and operational readiness across annual leadership changes.",shipped,public,2023-03-01,2023-03-01,Legislative Reform & Governance,"legislation, student-gov, appointments, process-design, governance, author, speaker, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Legislation (PDF)"", ""path"": ""/portfolio/archive/7CSC/7CSC Legislation/S.C.Legislation.7.pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""sc-legislation-6"",""sc-legislation-8""]"
sc-legislation-8,S.C. Legislation 8,,"Authored to correct structural inequities in representation, this amendment restructured the Council’s voting membership to ensure proportional representation for all student groups. By replacing the Synthesis Representative position with distinct First-Year and Transfer Representative roles, the legislation closed long-standing gaps that had left key student populations underrepresented. The reform passed unanimously and remains an essential component of the Council’s representational framework, reinforcing inclusivity and democratic participation within 7CSC governance.",shipped,public,2023-05-01,2023-05-01,Legislative Reform & Governance,"legislation, student-gov, representation, equity, constitution, author, speaker, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Legislation (PDF)"", ""path"": ""/portfolio/archive/7CSC/7CSC Legislation/S.C.Legislation.8.pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""sc-legislation-7"",""sc-legislation-9""]"
sc-legislation-9,S.C. Legislation 9,,"As the culminating piece of my legislative agenda as Speaker, Legislation 9 unified prior reforms into a comprehensive constitutional and bylaw update. It introduced the Vice President of Finance position to modernize fiscal oversight, codified interim appointment procedures to prevent administrative deadlock, and established a two-week Rules Committee review deadline to improve legislative efficiency. The legislation represented a holistic modernization of 7CSC governance—reinforcing accountability, procedural clarity, and organizational continuity. The reforms enacted under Legislation 9 continue to serve as the structural foundation of the Council’s operations today.",shipped,public,2024-01-01,2024-01-01,Legislative Reform & Governance; Procedural Design & Documentation,"legislation, student-gov, omnibus, constitution, bylaws, modernization, author, speaker, in-effect",FALSE,,FALSE,,,,,,"[{""label"": ""Full Legislation (PDF)"", ""path"": ""/portfolio/archive/7CSC/7CSC Legislation/Seventh Council Legislation 9 (2023 - 2024).pdf""}]",Author & Speaker of the Council,,"[{""key"": ""Status"", ""value"": ""Adopted & in effect""}]",,"[""sc-legislation-8""]"
